Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short),,
B,184.282,2,13.3,1,3,15.828,9.1,2.96E-13,2.96E-13,,
Al,396.152,1,0.98,2,4,3.143,0.014,1.09E-04,3.95E-05,,
Al,309.27099,1,0.74,6,4,4.022,0.014,2.40E-05,1.54E-05,,
Al,394.40058,1,0.493,2,2,3.143,0,5.46E-05,1.99E-05,,
Al,308.21529,1,0.63,4,2,4.021,0,1.36E-05,8.72E-06,,
Ga,266.5038,1,0.742,4,4,4.754,0.102,3.18E-06,2.57E-06,,
Ga,271.9664,1,0.234,2,4,4.66,0.102,6.16E-07,4.87E-07,,
Ga,287.4235,1,1.17,4,2,4.312,0,1.37E-05,9.68E-06,,
Ga,294.3636,1,1.34,6,4,4.313,0.102,2.34E-05,1.66E-05,,
In,271.0265,1,0.27,6,4,4.848,0.274,1.53E-06,1.25E-06,,
In,275.3878,1,0.13,2,2,4.501,0,5.38E-07,3.96E-07,,
In,293.263,1,0.23,2,4,4.501,0.274,9.52E-07,7.01E-07,,
In,303.9346,1,1.11,4,2,4.078,0,2.53E-05,1.57E-05,,
In,325.6079,1,1.3,6,4,4.081,0.274,4.41E-05,2.74E-05,,
Tl,535.046,1,0.705,2,4,3.283,0.966,8.56E-05,3.16E-05,,
Tl,276.787,1,1.26,4,2,4.478,0,1.41E-05,1.03E-05,,
Tl,351.924,1,1.24,6,4,4.488,0.966,2.04E-05,1.49E-05,,
C,193.0905,1,3.39,3,5,7.685,1.264,2.12E-07,2.10E-07,,
C,247.856,1,0.28,3,1,7.685,2.684,1.75E-08,1.74E-08,,
C,503.9057,1,0.00473,9,7,10.406,7.946,5.21E-12,5.21E-12,,
C,833.515,1,0.351,1,3,9.172,7.685,4.36E-10,4.35E-10,,
Si,288.1579,1,2.17,3,5,5.082,0.781,7.44E-06,6.42E-06,,
Si,251.6113,1,1.68,5,5,4.954,0.028,1.26E-05,1.07E-05,,
Si,252.8509,1,0.904,3,5,4.93,0.028,4.30E-06,3.61E-06,,
Si,251.432,1,0.739,3,1,4.93,0,3.52E-06,2.95E-06,,
Si,251.9202,1,0.549,3,3,4.93,0.01,2.61E-06,2.19E-06,,
Si,152.672,2,3.81,2,2,8.121,0,8.07E-08,8.02E-08,,
Si,250.69,1,0.547,5,3,4.954,0.01,4.12E-06,3.47E-06,,
Si,252.4108,1,2.22,1,3,4.92,0.01,3.59E-06,3.01E-06,,
Ge,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sn,300.91333,1,0.38,3,3,4.329,0.21,6.21E-06,4.02E-06,,
Sn,300.91333,1,0.38,3,3,4.329,0.21,6.21E-06,4.02E-06,,
Sn,300.91333,1,0.38,3,3,4.329,0.21,6.21E-06,4.02E-06,,
Sn,317.50354,1,1,3,5,4.329,0.425,1.63E-05,1.06E-05,,
Sn,326.2331,1,2.7,3,5,4.867,1.068,1.25E-05,9.82E-06,,
Sn,333.06072,1,0.2,5,5,4.789,1.068,1.84E-06,1.41E-06,,
Pb,405.7807,1,0.89,3,5,4.375,1.32,3.08E-05,2.00E-05,,
Pb,283.3053,1,0.58,3,1,4.375,0,2.01E-05,1.31E-05,,
Pb,261.3655,1,0.1872,3,3,5.712,0.97,3.33E-07,3.01E-07,,
Pb,261.4175,1,1.9,5,3,5.711,0.969,5.64E-06,5.11E-06,,
Pb,280.1995,1,1.6,7,5,5.744,1.32,6.21E-06,5.65E-06,,
Pb,283.3053,1,0.58,3,1,4.375,0,2.01E-05,1.31E-05,,
N,746.831,1,0.196,4,6,11.996,10.336,1.15E-11,1.15E-11,,
P,177.4951,1,2.17,6,4,6.985,0,1.53E-06,1.50E-06,,
p,178.2838,1,2.14,4,4,6.954,0,1.06E-06,1.04E-06,,
As,289.8702,1,3.788,2,4,6.588,2.312,1.49E-06,1.45E-06,,
As,286.0438,1,16.59,2,2,6.588,2.255,6.52E-06,6.33E-06,,
As,278.0215,1,14.92,4,4,6.771,2.312,8.21E-06,8.01E-06,,
As,274.4995,1,4.621,4,2,6.771,2.255,2.54E-06,2.48E-06,,
As,289.8702,1,3.788,2,4,6.588,2.312,1.49E-06,1.45E-06,,
Sb,252.852,1,1.77,4,6,6.124,1.222,2.06E-06,1.96E-06,,
Sb,259.805,1,0.21,2,4,5.826,1.055,2.22E-07,2.07E-07,,
Sb,265.2603,1,3.668,4,4,6.962,2.289,8.20E-07,8.04E-07,,
Sb,276.9933,1,1.892,4,6,5.697,1.222,5.19E-06,4.79E-06,,
Bi,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
O,777.194,1,0.369,7,5,10.741,9.146,1.80E-10,,,
S,180.73108,1,3.27,3,5,6.86,0,8.91E-07,8.73E-07,,
S,182.03426,1,1.71,3,3,6.86,0.049,4.66E-07,4.57E-07,,
S,182.62451,1,0.564,3,1,6.86,0.071,1.54E-07,1.51E-07,,
Se,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Te,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Po,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Lv,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
F,685.603,1,0.45,8,6,14.505,12.697,3.69E-13,3.69E-13,,
Cl,837.594,1,0.28,8,6,10.402,8.922,4.73E-10,4.73E-10,,
Cl,725.662,1,0.15,4,6,10.63,8.922,8.27E-11,8.26E-11,,
Cl,754.7072,1,0.12,4,4,10.63,8.987,6.62E-11,6.61E-11,,
Br,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
I,178.2757,1,2.71,4,4,6.955,0,1.51E-06,1.48E-06,,
I,183.038,1,0.16,6,4,6.774,0,1.90E-07,1.86E-07,,
I,170.2071,1,2.05,4,2,8.227,0.943,9.97E-08,9.91E-08,,
At,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
He,388.8648,1,0.094746,5,3,23.007,19.82,5.11E-20,5.11E-20,,
He,447.14802,1,0.24579,7,5,23.736,20.964,4.94E-20,4.94E-20,,
He,587.5621,1,0.70708,7,5,23.074,20.964,4.73E-19,4.73E-19,,
Ne,640.2248,1,0.514,7,5,18.555,16.619,1.28E-15,1.28E-15,,
Ne,626.64952,1,0.249,3,1,18.693,16.715,2.07E-16,2.07E-16,,
Ne,650.65277,1,0.3,5,3,18.576,16.671,5.16E-16,5.16E-16,,
Ar,811.5311,1,0.331,7,5,13.076,11.548,1.91E-11,1.91E-11,,
Ar,842.4648,1,0.215,5,3,13.095,11.624,8.55E-12,8.54E-12,,
Ar,763.5106,1,0.245,5,5,13.172,11.548,8.45E-12,8.45E-12,,
Ar,751.4652,1,0.402,1,3,13.273,11.624,2.30E-12,2.30E-12,,
Ar,750.3869,1,0.445,1,3,13.48,11.828,1.74E-12,1.74E-12,,
Kr,811.29012,1,0.36,7,5,11.443,9.915,4.31E-10,4.31E-10,,
Kr,805.95048,1,0.19,3,1,12.1,10.562,2.88E-11,2.87E-11,,
Kr,826.32426,1,0.35,5,3,12.144,10.644,8.15E-11,8.14E-11,,
Xe,467.12258,1,0.01,7,5,10.969,8.315,2.54E-11,2.54E-11,,
Xe,462.42756,1,0.0072,5,5,10.996,8.315,1.24E-11,1.24E-11,,
Xe,460.303,2,0.82,4,4,14.479,11.786,6.55E-14,6.55E-14,,
Xe,433.052,2,1.4,8,6,16.936,14.074,2.46E-15,2.46E-15,,
Xe,484.433,2,1.1,8,6,14.098,11.539,3.55E-13,3.55E-13,,
Xe,529.222,2,0.89,6,6,13.881,11.539,3.21E-13,3.21E-13,,
Rn,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ac,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Ce,424.8671,2,0.339,14,12,3.601,0.684,3.52E-05,1.14E-05,,
Ce,418.6594,2,1.545,16,14,3.825,0.864,9.66E-05,3.78E-05,,
Ce,348.5053,2,0.3787,6,8,3.557,0,1.92E-05,5.98E-06,,
Ce,418.6594,2,1.545,16,14,3.825,0.864,9.66E-05,3.78E-05,,
Ce,401.2386,2,1.025,12,10,3.65,0.561,7.90E-05,2.68E-05,,
Th,401.9129,2,0.1536,6,4,3.084,0,1.04E-03,3.63E-04,,
Th,438.186,2,0.1152,10,10,3.66,0.831,2.67E-04,1.43E-04,,
Th,346.9921,2,0.3014,8,8,4.086,0.514,1.92E-04,1.27E-04,,
Pr,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Pa,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Nd,427.2783,2,0.04068,8,8,2.901,0,3.34E-05,4.79E-06,,
Nd,435.1282,2,0.07897,12,12,3.031,0.182,6.46E-05,1.07E-05,,
Nd,401.225,2,1.25,20,18,3.72,0.631,2.12E-04,6.87E-05,,
Nd,386.3408,2,1.076,6,8,3.208,0,2.53E-04,5.04E-05,,
Nd,410.9071,2,0.6269,12,10,3.08,0.064,4.39E-04,7.65E-05,,
U,434.1686,2,0.02441,10,12,2.891,0.036,1.93E-04,5.70E-05,,
U,447.233,2,0.01832,10,12,2.807,0.036,1.86E-04,5.07E-05,,
U,409.0133,2,0.1195,14,14,3.248,0.217,4.75E-04,1.90E-04,,
U,385.9571,2,0.251,14,12,3.248,0.036,9.97E-04,3.99E-04,,
U,367.0068,2,0.2769,12,10,3.491,0.113,4.84E-04,2.31E-04,,
Pm,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Np,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Sm,363.429,2,0.56,10,8,3.595,0.185,1.26E-04,4.44E-05,,
Sm,360.949,2,0.58,12,10,3.711,0.277,1.12E-04,4.36E-05,,
Sm,359.26,2,0.66,14,12,3.829,0.378,1.08E-04,4.57E-05,,
Sm,442.4337,2,0.156,12,14,3.286,0.485,1.04E-04,2.78E-05,,
Sm,388.5278,2,0.3622,14,14,3.675,0.485,9.06E-05,3.42E-05,,
Eu,459.403,1,1.6,10,8,2.698,0,2.78E-04,4.85E-05,,
Eu,462.722,1,1.53,8,8,2.679,0,2.26E-04,3.86E-05,,
Eu,466.188,1,1.45,6,8,2.659,0,1.71E-04,2.86E-05,,
Eu,372.494,2,0.45,9,9,3.328,0,6.33E-04,2.26E-04,,
Eu,381.967,2,1.27,11,9,3.245,0,2.77E-03,9.22E-04,,
Eu,390.71,2,1.37,5,7,3.379,0.207,9.24E-04,3.44E-04,,
Eu,412.97,2,0.68,9,9,3.001,0,2.48E-03,6.63E-04,,
Eu,420.505,2,0.71,7,9,2.948,0,2.37E-03,6.00E-04,,
Eu,443.556,2,0.31,9,7,3.001,0.207,1.13E-03,3.02E-04,,
Eu,452.257,2,0.099,7,7,2.948,0.207,3.31E-04,8.37E-05,,
Am,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
Gd,342.2464,2,1.175,16,14,3.862,0.24,1.37E-04,6.31E-05,,
Gd,368.7752,2,1.087,6,4,3.716,0.354,7.10E-05,2.94E-05,,
Gd,346.399,2,1.032,10,8,4.006,0.427,5.12E-05,2.59E-05,,
Cu,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
