# Wavelengths	Intensities
 277.01277	1423.33828
 277.22590	1470.44156
 277.43902	1402.85859
 277.65213	1517.54484
 277.86523	1507.30500
 278.07832	1454.05781
 278.29140	1402.85859
 278.50446	1365.99516
 278.71752	1441.77000
 278.93057	1476.58547
 279.14361	1447.91391
 279.35664	1458.15375
 279.56966	1427.43422
 279.78267	1419.24234
 279.99567	1417.19438
 280.20865	1394.66672
 280.42163	1413.09844
 280.63460	1478.63344
 280.84756	1404.90656
 281.06051	1370.09109
 281.27345	1474.53750
 281.48637	1429.48219
 281.69929	1361.89922
 281.91220	1409.00250
 282.12510	1419.24234
 282.33799	1470.44156
 282.55086	1452.00984
 282.76373	1503.20906
 282.97659	1423.33828
 283.18944	1480.68141
 283.40227	1386.47484
 283.61510	1417.19438
 283.82792	1400.81063
 284.04072	1441.77000
 284.25352	1400.81063
 284.46631	1441.77000
 284.67908	1396.71469
 284.89185	1421.29031
 285.10461	1404.90656
 285.31735	1531.88063
 285.53009	1486.82531
 285.74282	1449.96187
 285.95553	1497.06516
 286.16824	1396.71469
 286.38093	1417.19438
 286.59362	1476.58547
 286.80629	1472.48953
 287.01896	1523.68875
 287.23161	1423.33828
 287.44426	1464.29766
 287.65689	1470.44156
 287.86952	1353.70734
 288.08213	1386.47484
 288.29474	1486.82531
 288.50733	1437.67406
 288.71992	1472.48953
 288.93249	1396.71469
 289.14505	1423.33828
 289.35761	1363.94719
 289.57015	1402.85859
 289.78268	1423.33828
 289.99521	1441.77000
 290.20772	1470.44156
 290.42022	1462.24969
 290.63271	1435.62609
 290.84520	1480.68141
 291.05767	1419.24234
 291.27013	1466.34562
 291.48258	1374.18703
 291.69502	1480.68141
 291.90745	1468.39359
 292.11987	1509.35297
 292.33229	1476.58547
 292.54469	1495.01719
 292.75708	1335.27562
 292.96946	1433.57812
 293.18183	1392.61875
 293.39419	1396.71469
 293.60654	1460.20172
 293.81888	1458.15375
 294.03120	1411.05047
 294.24352	1402.85859
 294.45583	1449.96187
 294.66813	1466.34562
 294.88042	1351.65937
 295.09270	1470.44156
 295.30496	1394.66672
 295.51722	1427.43422
 295.72947	1376.23500
 295.94171	1402.85859
 296.15393	1497.06516
 296.36615	1466.34562
 296.57836	1402.85859
 296.79055	1433.57812
 297.00274	1447.91391
 297.21491	1443.81797
 297.42708	1417.19438
 297.63923	1462.24969
 297.85138	1404.90656
 298.06351	1388.52281
 298.27564	1382.37891
 298.48775	1456.10578
 298.69985	1445.86594
 298.91195	1458.15375
 299.12403	1445.86594
 299.33610	1464.29766
 299.54816	1462.24969
 299.76022	1417.19438
 299.97226	1392.61875
 300.18429	1456.10578
 300.39631	1435.62609
 300.60832	1400.81063
 300.82032	1476.58547
 301.03231	1419.24234
 301.24429	1492.96922
 301.45626	1421.29031
 301.66822	1415.14641
 301.88017	1460.20172
 302.09211	1421.29031
 302.30404	1423.33828
 302.51596	1343.46750
 302.72786	1478.63344
 302.93976	1429.48219
 303.15165	1458.15375
 303.36352	1400.81063
 303.57539	1411.05047
 303.78725	1460.20172
 303.99909	1466.34562
 304.21093	1441.77000
 304.42275	1458.15375
 304.63457	1417.19438
 304.84637	1470.44156
 305.05817	1470.44156
 305.26995	1470.44156
 305.48172	1472.48953
 305.69349	1456.10578
 305.90524	1392.61875
 306.11698	1411.05047
 306.32871	1370.09109
 306.54043	1497.06516
 306.75214	1413.09844
 306.96384	1482.72937
 307.17554	1441.77000
 307.38721	1466.34562
 307.59888	1337.32359
 307.81054	1415.14641
 308.02219	1486.82531
 308.23383	1378.28297
 308.44546	1429.48219
 308.65708	1413.09844
 308.86868	1386.47484
 309.08028	1411.05047
 309.29187	1392.61875
 309.50344	1396.71469
 309.71501	1417.19438
 309.92656	1462.24969
 310.13811	1411.05047
 310.34964	1404.90656
 310.56116	1411.05047
 310.77268	1402.85859
 310.98418	1376.23500
 311.19567	1456.10578
 311.40716	1372.13906
 311.61863	1415.14641
 311.83009	1472.48953
 312.04154	1435.62609
 312.25298	1449.96187
 312.46441	1415.14641
 312.67583	1492.96922
 312.88724	1372.13906
 313.09864	1419.24234
 313.31002	1486.82531
 313.52140	1452.00984
 313.73277	1400.81063
 313.94413	1333.22766
 314.15547	1464.29766
 314.36681	1466.34562
 314.57813	1425.38625
 314.78945	1441.77000
 315.00075	1447.91391
 315.21205	1468.39359
 315.42333	1382.37891
 315.63460	1462.24969
 315.84587	1456.10578
 316.05712	1464.29766
 316.26836	1449.96187
 316.47959	1378.28297
 316.69081	1478.63344
 316.90202	1415.14641
 317.11322	1357.80328
 317.32441	1468.39359
 317.53559	1437.67406
 317.74675	1484.77734
 317.95791	1458.15375
 318.16906	1413.09844
 318.38020	1370.09109
 318.59132	1474.53750
 318.80244	1386.47484
 319.01354	1484.77734
 319.22464	1511.40094
 319.43572	1435.62609
 319.64679	1503.20906
 319.85786	1431.53016
 320.06891	1437.67406
 320.27995	1435.62609
 320.49098	1433.57812
 320.70200	1470.44156
 320.91301	1411.05047
 321.12401	1396.71469
 321.33500	1462.24969
 321.54598	1441.77000
 321.75695	1437.67406
 321.96790	1449.96187
 322.17885	1400.81063
 322.38979	1449.96187
 322.60071	1431.53016
 322.81163	1368.04312
 323.02253	1492.96922
 323.23343	1423.33828
 323.44431	1427.43422
 323.65518	1462.24969
 323.86604	1413.09844
 324.07690	1454.05781
 324.28774	1425.38625
 324.49857	1482.72937
 324.70939	1460.20172
 324.92020	1370.09109
 325.13099	1441.77000
 325.34178	1359.85125
 325.55256	1384.42688
 325.76333	1421.29031
 325.97408	1460.20172
 326.18483	1406.95453
 326.39556	1435.62609
 326.60629	1458.15375
 326.81700	1466.34562
 327.02770	1406.95453
 327.23840	1411.05047
 327.44908	1413.09844
 327.65975	1429.48219
 327.87041	1449.96187
 328.08106	1497.06516
 328.29170	1439.72203
 328.50233	1415.14641
 328.71295	1388.52281
 328.92355	1439.72203
 329.13415	1376.23500
 329.34474	1374.18703
 329.55531	1400.81063
 329.76588	1437.67406
 329.97643	1400.81063
 330.18698	1423.33828
 330.39751	1464.29766
 330.60803	1505.25703
 330.81854	1382.37891
 331.02904	1429.48219
 331.23953	1427.43422
 331.45001	1415.14641
 331.66048	1437.67406
 331.87094	1425.38625
 332.08139	1445.86594
 332.29183	1443.81797
 332.50225	1417.19438
 332.71267	1394.66672
 332.92307	1470.44156
 333.13347	1449.96187
 333.34385	1443.81797
 333.55422	1415.14641
 333.76458	1447.91391
 333.97494	1431.53016
 334.18528	1365.99516
 334.39561	1460.20172
 334.60593	1351.65937
 334.81623	1406.95453
 335.02653	1398.76266
 335.23682	1443.81797
 335.44709	1380.33094
 335.65736	1368.04312
 335.86762	1458.15375
 336.07786	1437.67406
 336.28809	1404.90656
 336.49832	1411.05047
 336.70853	1443.81797
 336.91873	1355.75531
 337.12892	1462.24969
 337.33910	1363.94719
 337.54927	1443.81797
 337.75943	1495.01719
 337.96957	1447.91391
 338.17971	1388.52281
 338.38984	1492.96922
 338.59995	1490.92125
 338.81006	1421.29031
 339.02015	1357.80328
 339.23023	1378.28297
 339.44031	1404.90656
 339.65037	1382.37891
 339.86042	1456.10578
 340.07046	1462.24969
 340.28049	1499.11313
 340.49051	1384.42688
 340.70051	1462.24969
 340.91051	1468.39359
 341.12050	1437.67406
 341.33047	1431.53016
 341.54044	1394.66672
 341.75039	1507.30500
 341.96033	1437.67406
 342.17026	1402.85859
 342.38018	1538.02453
 342.59010	1417.19438
 342.79999	1462.24969
 343.00988	1452.00984
 343.21976	1480.68141
