Symbol,Wavelength,Ionization Level,A (10^8 s^-1),gUpper,gLower,eUpper,eLower,Intensity (long),Intensity (short)
Li,670.4081,1,0.0002033,4,2,5.222,3.373,1.74E-10,1.53E-10
Li,900.9733,1,0.0002082,4,6,5.255,3.879,1.66E-10,1.47E-10
Li,650.7347,1,0.0002005,4,2,5.278,3.373,1.52E-10,1.36E-10
Li,885.8101,1,0.0001783,4,6,5.278,3.879,1.36E-10,1.21E-10
Li,922.6638,1,0.0003153,2,4,5.222,3.879,1.35E-10,1.19E-10
Li,658.8809,1,0.0001641,4,2,5.255,3.373,1.31E-10,1.16E-10
Li,87.308,1,0.000278,2,2,5.177,3.373,1.31E-10,1.15E-10
Li,900.9701,1,0.0002288,2,4,5.255,3.879,9.14E-11,8.09E-11
Li,670.4081,1,0.0002038,2,2,5.222,3.373,8.71E-11,7.68E-11
Li,874.1883,1,0.0001158,4,6,5.297,3.879,8.47E-11,7.55E-11
Li,319.5695,1,4.17E-06,4,2,3.879,0,7.69E-11,4.48E-11
Li,650.7347,1,0.0002009,2,2,5.278,3.373,7.64E-11,6.79E-11
Li,885.8071,1,0.000196,2,4,5.278,3.879,7.45E-11,6.62E-11
Li,644.4409,1,9.76E-05,4,2,5.297,3.373,7.14E-11,6.36E-11
Li,658.8809,1,0.0001645,2,2,5.255,3.373,6.57E-11,5.82E-11
Li,874.1853,1,0.0001272,2,4,5.297,3.879,4.65E-11,4.14E-11
Li,954.98,1,4.57E-05,4,4,5.177,3.879,4.30E-11,3.77E-11
Li,644.4409,1,9.78E-05,2,2,5.297,3.373,3.58E-11,3.19E-11
Li,922.6638,1,3.15E-05,4,4,5.222,3.879,2.69E-11,2.37E-11
Li,900.9701,1,2.28E-05,4,4,5.255,3.879,1.82E-11,1.62E-11
Li,885.8071,1,1.96E-05,4,4,5.278,3.879,1.49E-11,1.32E-11
Li,874.1853,1,1.27E-05,4,4,5.297,3.879,9.28E-12,8.27E-12
Li,272.969,1,1.62E-06,4,2,4.541,0,6.10E-12,4.66E-12
Li,460.1843,1,8.24E-07,6,4,4.542,1.848,4.66E-12,3.56E-12
Li,623.9831,1,2.23E-07,4,4,3.835,1.848,4.60E-12,2.61E-12
Li,623.9701,1,1.77E-07,2,2,3.835,1.848,1.83E-12,1.04E-12
Li,255.7112,1,7.80E-07,4,2,4.847,0,1.49E-12,1.23E-12
Li,413.2169,1,4.97E-07,6,4,4.848,1.848,1.42E-12,1.17E-12
Li,623.9701,1,4.44E-08,4,2,3.835,1.848,9.18E-13,5.21E-13
Li,623.9831,1,8.88E-08,2,4,3.835,1.848,9.18E-13,5.21E-13
Li,391.5105,1,4.42E-07,6,4,5.014,1.848,8.81E-13,7.52E-13
Li,247.2218,1,4.36E-07,4,2,5.014,0,5.80E-13,4.95E-13
Li,463.5673,1,9.72E-08,4,4,4.522,1.848,3.83E-13,2.91E-13
Li,242.3707,1,2.69E-07,4,2,5.114,0,2.89E-13,2.51E-13
Li,239.3231,1,1.78E-07,4,2,5.179,0,1.67E-13,1.46E-13
Li,463.5601,1,7.74E-08,2,2,4.522,1.848,1.53E-13,1.16E-13
Li,840.8969,1,7.79E-08,4,2,4.847,3.373,1.48E-13,1.23E-13
Li,237.2775,1,1.23E-07,4,2,5.224,0,1.05E-13,9.27E-14
Li,463.5601,1,1.94E-08,4,2,4.522,1.848,7.64E-14,5.80E-14
Li,463.5673,1,3.88E-08,2,4,4.522,1.848,7.64E-14,5.80E-14
Li,755.5825,1,4.94E-08,4,2,5.014,3.373,6.56E-14,5.60E-14
Li,712.0296,1,3.24E-08,4,2,5.114,3.373,3.47E-14,3.01E-14
Li,686.3555,1,2.21E-08,4,2,5.179,3.373,2.07E-14,1.81E-14
Li,669.7964,1,1.57E-08,4,2,5.224,3.373,1.34E-14,1.18E-14
Li,548.4403,2,0.22727,5,3,61.281,59.021,1.60E-49,1.60E-49
Li,548.565,2,0.2272,3,3,61.281,59.021,9.61E-50,9.61E-50
Li,548.355,2,0.22726,1,3,61.281,59.021,3.20E-50,3.20E-50
Li,958.142,2,0.051423,3,1,62.216,60.923,4.08E-51,4.08E-51
