wavelength,element_symbol,ionization_level,relative_intensity,concentration,units
213.898,Zn,1,0.1105493715938297,1.5,au
213.898,Zn,1,0.07423653571523135,1.5,au
213.898,Zn,1,0.11407193422342404,1.5,au
213.898,Zn,1,0.11400204587001078,1.5,au
213.898,Zn,1,0.08472784488620412,1.5,au
213.898,Zn,1,0.09718855738523553,1.5,au
213.898,Zn,1,0.08222706097261034,1.5,au
202.59,Zn,1,0.11383625093976682,1.5,au
202.59,Zn,1,0.10112515866707124,1.5,au
202.59,Zn,1,0.10930698277266021,1.5,au
202.59,Zn,1,0.07378285984950382,1.5,au
202.59,Zn,1,0.11373059747745934,1.5,au
202.59,Zn,1,0.11296972300117361,1.5,au
202.59,Zn,1,0.08416310650653508,1.5,au
202.59,Zn,1,0.09660006626534103,1.5,au
202.59,Zn,1,0.08102926006275787,1.5,au
206.22,Zn,1,0.11329930660221396,1.5,au
206.22,Zn,1,0.10075325214172863,1.5,au
206.22,Zn,1,0.11056660128414066,1.5,au
206.22,Zn,1,0.07352448051231156,1.5,au
206.22,Zn,1,0.11420235022321425,1.5,au
206.22,Zn,1,0.11316544168416838,1.5,au
206.22,Zn,1,0.08482777011683154,1.5,au
206.22,Zn,1,0.0973596481296556,1.5,au
206.22,Zn,1,0.08193173566518483,1.5,au
481.039,Zn,1,0.16897148697969305,1.5,au
481.039,Zn,1,0.15679916081778497,1.5,au
481.039,Zn,1,0.17026699815688504,1.5,au
481.039,Zn,1,0.11576125883342056,1.5,au
481.039,Zn,1,0.17154424389431977,1.5,au
481.039,Zn,1,0.17237683063941106,1.5,au
481.039,Zn,1,0.12885554646014413,1.5,au
481.039,Zn,1,0.15128544493113333,1.5,au
481.039,Zn,1,0.12920771605489612,1.5,au
472.224,Zn,1,0.1331176467675227,1.5,au
472.224,Zn,1,0.11329162807563205,1.5,au
472.224,Zn,1,0.12422217101275503,1.5,au
472.224,Zn,1,0.08333635483424313,1.5,au
472.224,Zn,1,0.12879352859371648,1.5,au
472.224,Zn,1,0.13256854788202518,1.5,au
472.224,Zn,1,0.09731407675222202,1.5,au
472.224,Zn,1,0.11363302158071749,1.5,au
472.224,Zn,1,0.0943022846451574,1.5,au
334.417,Zn,1,0.16435191073229033,1.5,au
334.417,Zn,1,0.230482850304551,1.5,au
334.417,Zn,1,0.2319957494209119,1.5,au
334.417,Zn,1,0.12766938189033936,1.5,au
334.417,Zn,1,0.17380406278806912,1.5,au
334.417,Zn,1,0.16913360209545916,1.5,au
334.417,Zn,1,0.12117068352074782,1.5,au
