Wavelength	Intensity
342.590095	2732.439656
342.799995	3092.585219
343.009884	3005.638327
343.219762	2872.336797
343.429629	3451.650109
343.639485	2967.934467
343.849331	3168.480637
344.059166	2822.818425
344.268989	3024.496556
344.478803	2623.021797
344.688605	2783.880024
344.898396	2533.477153
345.108177	2570.471962
345.317947	2645.293007
345.527705	2618.458858
345.737453	2163.439073
345.947191	1876.462503
346.156917	2358.652066
346.366633	2351.652440
346.576337	2188.509594
346.786031	2423.365539
346.995714	2286.371187
347.205386	2933.599497
347.415047	2114.940186
347.624698	2436.642244
347.834337	1916.976472
348.043966	2464.389701
348.253584	1833.522645
348.463190	2246.966684
348.672786	1717.149250
348.882372	2139.281860
349.091946	2036.704360
349.301509	1673.434656
349.511062	1728.287105
349.720603	2051.690705
349.930134	1858.082074
350.139654	2186.278964
350.349163	1720.669309
350.558661	1868.337214
350.768148	1777.030741
350.977624	1865.528905
351.187089	1666.118296
351.396543	2016.063607
351.605987	1582.031003
351.815419	1928.114327
352.024841	2117.146521
352.234252	1972.240135
352.443651	2013.229204
352.653040	2123.891501
352.862418	2430.672901
353.071785	2353.498851
353.281141	2133.237833
353.490486	2699.650561
353.699821	2692.359396
353.909144	2650.066502
354.118456	2220.236913
354.327758	2658.708282
354.537048	2844.021560
354.746327	2820.417730
354.955596	2142.011885
355.164853	2893.479645
355.374100	2639.257978
355.583336	3137.474966
355.792560	2823.765925
356.001774	2935.387420
356.210977	2846.101922
356.420169	3324.397105
356.629349	2452.443816
356.838519	3901.138758
357.047678	3418.111471
357.256826	4087.716269
357.465963	4248.520508
357.675089	4224.468573
357.884204	4553.575171
358.093307	4619.462897
358.302400	4100.367605
358.511482	3949.734825
358.720553	3474.943504
358.929613	3170.608689
359.138662	2569.303109
359.347700	2664.800899
359.556727	2615.932190
359.765743	2289.317166
359.974748	2229.525657
360.183742	2066.283832
360.392724	1857.700554
360.601696	1837.137184
360.810657	1900.549531
361.019607	2025.593500
361.228546	2003.540044
361.437473	2137.502935
361.646390	2049.360195
361.855296	2092.817444
362.064190	1988.498811
362.273074	2267.820693
362.481946	1883.396443
362.690808	2131.923210
362.899658	1615.757701
363.108498	2090.157604
363.317326	1824.216805
363.526143	2041.028850
363.734949	1872.270286
363.943744	2046.853323
364.152529	1748.899065
364.361302	2159.803839
364.570064	1670.647942
364.778814	2258.737106
364.987554	1503.022240
365.196283	1886.146264
365.405001	1688.478588
365.613707	1917.440774
365.822403	1730.811074
366.031087	1559.252299
366.239760	1593.938196
366.448423	1652.830794
366.657074	1819.859022
366.865714	1651.705131
367.074343	1779.173190
367.282960	1999.319033
367.491567	1675.782261
367.700163	2185.022828
367.908747	1695.794047
368.117321	1962.767829
368.325883	2245.670957
368.534434	2416.174254
368.742974	2045.226466
368.951503	2190.148149
369.160021	2770.728394
369.368528	3226.910733
369.577023	3066.984709
369.785508	3817.631842
369.993981	3863.519480
370.202443	3663.344031
370.410894	3624.746659
370.619334	3763.389464
370.827763	3035.943946
371.036180	3570.339616
371.244587	2882.315696
371.452982	4427.199483
371.661366	3522.053084
371.869739	4094.404561
372.078101	3919.835921
372.286451	4595.623317
372.494791	4732.353125
372.703119	5190.542042
372.911436	5312.363790
373.119742	5760.885143
373.328037	5190.341385
373.536321	5264.708925
373.744593	5304.443658
373.952854	5120.839120
374.161104	4978.935401
374.369343	5119.113284
374.577571	4754.726014
374.785787	5053.455009
374.993993	4486.583378
375.202187	4515.609466
375.410370	3780.320299
375.618541	4056.773585
375.826702	3927.593187
376.034851	4719.843060
376.242989	4030.012320
376.451116	4125.600092
376.659232	3792.134811
376.867336	4337.405591
377.075429	3841.080905
377.283511	3645.555677
377.491582	3950.672427
377.699642	4324.212569
377.907690	3902.443483
378.115727	4552.398219
378.323753	4214.386196
378.531767	4922.474091
378.739771	4517.032066
378.947763	4659.400987
379.155744	4562.079281
379.363713	4764.474561
379.571672	5356.940403
379.779619	5449.246566
379.987555	5945.663933
380.195479	5646.727082
380.403393	5878.280722
380.611295	5901.271781
380.819186	6129.502421
381.027065	6499.620584
381.234934	6917.182156
381.442791	7426.950012
381.650636	7847.856180
381.858471	8206.257910
382.066294	7727.619899
382.274106	8335.533687
382.481906	9075.186035
382.689696	9041.095814
382.897474	9458.185885
383.105241	9571.648393
383.312996	9869.567559
383.520740	10855.703204
383.728473	11185.038354
383.936194	11278.481878
384.143905	12102.790199
384.351604	12373.895911
384.559291	12968.684164
384.766968	13427.634321
384.974633	12949.142079
385.182286	13969.820550
385.389929	13350.126442
385.597560	13091.854727
385.805179	12881.711178
386.012788	13343.309478
386.220385	13306.580112
386.427970	13235.715534
386.635545	13292.559264
386.843108	13345.884735
387.050660	13465.959051
387.258200	12874.423613
387.465729	11945.615796
387.673247	11828.726810
387.880753	10054.098901
388.088248	9191.284088
388.295731	7331.760856
388.503204	7143.130877
388.710665	5690.791703
388.918114	5337.931906
389.125552	4824.836551
389.332979	4746.943553
389.540394	4640.861291
389.747798	4751.959997
389.955191	4171.620901
390.162572	4999.186537
390.369942	5193.884839
390.577301	5903.794850
390.784648	6363.565634
390.991984	7677.457262
391.199308	9451.271741
391.406621	12478.487187
391.613923	16492.431253
391.821213	20430.995492
392.028491	27370.257760
392.235759	31719.073510
392.443015	36306.202278
392.650259	36247.854964
392.857492	34600.884974
393.064714	32769.991014
393.271924	27727.633706
393.479123	23467.887500
393.686311	19409.170662
393.893487	17016.899313
394.100651	13804.792601
394.307805	12255.444854
394.514946	11038.414230
394.722077	11044.649917
394.929196	11780.568951
395.136303	13156.262265
395.343399	17076.071753
395.550484	20168.555855
395.757557	23937.089198
395.964618	25423.403418
396.171669	25942.931518
396.378707	25267.199910
396.585735	22635.317118
396.792750	19796.298842
396.999755	16466.963916
397.206748	13592.907019
397.413729	12630.147551
397.620699	10531.011076
397.827658	9597.429764
398.034605	9066.421881
398.241540	8062.742630
398.448464	7599.602956
398.655377	7428.099970
398.862278	7444.327153
399.069168	7284.608086
399.276046	6807.973053
399.482912	7089.457179
399.689768	6490.914917
399.896611	6235.188766
400.103443	6137.305578
400.310264	5694.193886
400.517073	5713.340055
400.723871	5512.831676
400.930657	5323.740994
401.137432	5793.847002
401.344195	5395.082471
401.550946	5233.914709
401.757686	5906.088467
401.964415	5714.016712
402.171132	6495.631724
402.377837	6436.892093
402.584531	6369.739234
402.791214	6451.482521
402.997885	6696.094212
403.204544	6567.140566
403.411192	6934.267758
403.617828	6826.722405
403.824453	6688.753557
404.031066	7043.403977
404.237668	6899.376705
404.444258	7059.164158
404.650836	6716.832145
